Month,Bitcoin: (Worldwide),Gold: (Worldwide)
2009-01,0.1,39
2009-02,0.1,42
2009-03,0.1,41
2009-04,0.1,38
2009-05,0.1,36
2009-06,0.1,37
2009-07,0.1,38
2009-08,0.1,38
2009-09,0.1,37
2009-10,0.1,39
2009-11,0.1,40
2009-12,0.1,43
2010-01,0.1,39
2010-02,0.1,45
2010-03,0.1,43
2010-04,0.1,44
2010-05,0.1,45
2010-06,0.1,42
2010-07,0.1,43
2010-08,0.1,43
2010-09,0.1,40
2010-10,0.1,42
2010-11,0.1,43
2010-12,0.1,44
2011-01,0.1,43
2011-02,0.1,43
2011-03,0.1,41
2011-04,1,44
2011-05,1,42
2011-06,3,43
2011-07,1,44
2011-08,1,53
2011-09,1,47
2011-10,1,48
2011-11,1,45
2011-12,1,46
2012-01,1,45
2012-02,1,44
2012-03,1,44
2012-04,1,45
2012-05,1,42
2012-06,1,43
2012-07,1,50
2012-08,1,57
2012-09,1,46
2012-10,1,43
2012-11,1,42
2012-12,1,45
2013-01,1,49
2013-02,1,46
2013-03,3,45
2013-04,8,58
2013-05,3,48
2013-06,2,48
2013-07,2,48
2013-08,3,48
2013-09,2,47
2013-10,4,47
2013-11,12,46
2013-12,13,49
2014-01,8,47
2014-02,10,51
2014-03,7,46
2014-04,4,44
2014-05,3,45
2014-06,3,45
2014-07,3,44
2014-08,3,46
2014-09,3,47
2014-10,3,47
2014-11,3,52
2014-12,3,52
2015-01,4,47
2015-02,3,52
2015-03,3,50
2015-04,3,48
2015-05,3,47
2015-06,3,45
2015-07,4,58
2015-08,4,53
2015-09,3,51
2015-10,3,50
2015-11,4,49
2015-12,4,53
2016-01,4,51
2016-02,4,51
2016-03,3,49
2016-04,4,47
2016-05,5,49
2016-06,6,52
2016-07,4,52
2016-08,5,62
2016-09,4,52
2016-10,4,56
2016-11,5,58
2016-12,5,61
2017-01,8,53
2017-02,6,52
2017-03,8,51
2017-04,7,50
2017-05,15,51
2017-06,17,49
2017-07,14,53
2017-08,22,51
2017-09,23,52
2017-10,24,54
2017-11,40,54
2017-12,100,57
2018-01,62,52
2018-02,45,55
2018-03,25,50
2018-04,21,51
2018-05,15,52
2018-06,14,55
2018-07,14,51
2018-08,14,53
2018-09,14,49
2018-10,11,50
2018-11,15,54
2018-12,14,58
2019-01,11,51
2019-02,11,53
2019-03,10,53
2019-04,14,53
2019-05,19,50
2019-06,24,57
2019-07,22,58
2019-08,26,63
2019-09,76,64
2019-10,14,61
2019-11,12,57
2019-12,12,60
2020-01,15,60
2020-02,15,60
2020-03,20,74
2020-04,18,56
2020-05,22,58
2020-06,16,61
2020-07,16,69
2020-08,19,83
2020-09,15,70
2020-10,15,66
2020-11,26,70
2020-12,34,73
2021-01,70,69
2021-02,73,79
2021-03,53,82
2021-04,57,71
2021-05,71,66
2021-06,49,62
2021-07,36,72
2021-08,36,73
2021-09,33,62
2021-10,42,65
2021-11,37,62
2021-12,40,63
2022-01,46,62
2022-02,42,66
2022-03,36,71
2022-04,27,67
2022-05,42,64
2022-06,47,61
2022-07,35,69
2022-08,27,64
2022-09,25,66
2022-10,21,65
2022-11,28,62
2022-12,21,66
2023-01,24,66
2023-02,19,68
2023-03,27,67
2023-04,25,67
2023-05,20,62
2023-06,22,67
2023-07,21,68
2023-08,20,62
2023-09,18,63
2023-10,22,70
2023-11,24,65
2023-12,27,69
2024-01,35,66
2024-02,31,59
2024-03,50,62
2024-04,36,73
